age,job,marital status ,education,credit default?,Credit Card
30,unemployed,married,primary,no,no
33,services,married,secondary,no,yes
35,management,single,tertiary,no,no
30,management,married,tertiary,no,yes
59,blue-collar,married,secondary,no,no
35,management,single,tertiary,no,no
36,self-employed,married,tertiary,no,no
39,technician,married,secondary,no,no
41,entrepreneur,married,tertiary,no,no
43,services,married,primary,no,yes
39,services,married,secondary,no,no
43,admin.,married,secondary,no,no
36,technician,married,tertiary,no,no
20,student,single,secondary,no,no
31,blue-collar,married,secondary,no,yes
40,management,married,tertiary,no,yes
56,technician,married,secondary,no,no
37,admin.,single,tertiary,no,no
25,blue-collar,single,primary,no,no
31,services,married,secondary,no,no
38,management,divorced,unknown,no,no
42,management,divorced,tertiary,no,no
44,services,single,secondary,no,no
44,entrepreneur,married,secondary,no,no
26,housemaid,married,tertiary,no,no
41,management,married,tertiary,no,no
55,blue-collar,married,primary,no,no
67,retired,married,unknown,no,no
56,self-employed,married,secondary,no,yes
53,admin.,married,secondary,no,yes
68,retired,divorced,secondary,no,no
31,technician,married,secondary,no,no
59,management,married,secondary,no,no
32,management,single,tertiary,no,no
49,technician,married,tertiary,no,no
42,admin.,divorced,secondary,no,no
78,retired,divorced,primary,no,no
32,blue-collar,married,secondary,no,no
33,management,married,secondary,no,no
23,services,single,tertiary,no,no
38,management,single,tertiary,no,no
36,management,single,tertiary,no,no
52,blue-collar,married,secondary,no,no
32,technician,married,tertiary,no,no
32,technician,single,tertiary,no,no
34,management,single,tertiary,no,no
55,blue-collar,married,primary,no,no
26,blue-collar,married,primary,no,no
32,entrepreneur,single,primary,yes,yes
61,admin.,married,unknown,no,no
45,blue-collar,divorced,primary,no,no
37,technician,single,secondary,no,no
38,technician,single,secondary,no,no
34,technician,married,tertiary,no,no
53,blue-collar,married,secondary,no,no
48,admin.,married,secondary,no,no
57,management,married,secondary,no,yes
33,self-employed,single,tertiary,no,no
36,retired,single,secondary,no,yes
54,technician,divorced,secondary,no,yes
41,blue-collar,married,primary,no,yes
63,retired,married,secondary,no,no
48,management,married,tertiary,no,no
48,services,married,secondary,no,no
56,admin.,married,secondary,no,no
51,blue-collar,divorced,secondary,no,no
31,services,married,secondary,no,no
29,technician,married,secondary,no,no
41,management,married,secondary,no,yes
32,technician,single,tertiary,no,no
37,management,married,tertiary,no,no
42,entrepreneur,divorced,tertiary,yes,no
31,management,single,tertiary,no,no
41,services,married,tertiary,no,no
56,retired,married,secondary,no,no
54,management,divorced,tertiary,no,no
41,blue-collar,divorced,secondary,no,no
40,technician,single,secondary,no,yes
50,blue-collar,divorced,primary,no,no
40,,married,secondary,no,no
27,admin.,divorced,secondary,no,no
60,retired,married,primary,no,no
28,admin.,single,secondary,no,yes
52,services,married,secondary,no,no
37,management,married,tertiary,no,no
51,blue-collar,married,primary,no,no
41,technician,single,secondary,no,yes
35,blue-collar,single,primary,no,no
38,admin.,married,secondary,no,no
34,blue-collar,married,secondary,no,no
39,blue-collar,married,primary,no,no
34,blue-collar,married,primary,no,no
27,services,single,secondary,no,no
32,management,single,tertiary,no,no
57,blue-collar,married,secondary,no,no
41,unknown,single,tertiary,no,no
41,admin.,married,tertiary,no,no
30,admin.,single,,no,no
36,blue-collar,divorced,secondary,no,no
31,unemployed,single,primary,no,no
36,blue-collar,married,secondary,no,no
38,management,single,tertiary,no,no
49,technician,married,secondary,no,no
57,services,single,primary,no,no
34,management,single,secondary,no,no
32,management,single,tertiary,no,no
37,blue-collar,married,secondary,no,yes
33,self-employed,married,tertiary,no,no
56,unemployed,,primary,no,no
27,housemaid,married,primary,no,
21,student,single,secondary,no,no
58,management,married,tertiary,no,no
32,self-employed,married,secondary,no,yes
33,blue-collar,single,secondary,no,no
25,student,single,secondary,no,no
25,technician,single,secondary,no,yes
30,services,married,secondary,no,no
22,admin.,single,secondary,no,yes
39,blue-collar,married,primary,no,no
46,management,divorced,tertiary,no,no
31,admin.,divorced,secondary,no,no
45,blue-collar,married,primary,no,no
32,technician,married,secondary,no,no
36,blue-collar,married,secondary,no,yes
51,management,single,tertiary,yes,no
34,self-employed,single,tertiary,no,no
24,unemployed,single,secondary,no,no
45,technician,single,secondary,no,yes
32,blue-collar,single,secondary,no,no
77,retired,divorced,tertiary,no,no
41,blue-collar,married,primary,no,no
37,blue-collar,married,primary,no,no
43,blue-collar,married,unknown,yes,no
48,admin.,married,unknown,no,no
27,technician,single,secondary,no,no
33,management,single,tertiary,no,no
29,admin.,single,secondary,no,yes
34,management,single,tertiary,no,no
52,management,married,tertiary,no,no
60,management,married,unknown,no,no
32,management,divorced,tertiary,no,no
32,management,single,tertiary,no,no
56,services,divorced,unknown,no,no
31,management,single,tertiary,no,no
42,admin.,married,secondary,no,yes
35,management,married,tertiary,no,yes
56,retired,married,primary,no,yes
48,technician,married,secondary,no,no
46,admin.,married,secondary,no,no
37,technician,single,unknown,no,no
41,entrepreneur,married,unknown,no,no
36,management,single,tertiary,no,yes
45,unemployed,divorced,primary,yes,yes
55,entrepreneur,married,secondary,no,no
39,technician,married,secondary,no,no
35,technician,divorced,secondary,no,no
55,admin.,married,secondary,no,no
55,technician,married,secondary,no,no
27,self-employed,single,secondary,no,no
34,technician,married,secondary,no,no
34,blue-collar,married,tertiary,no,no
25,admin.,single,secondary,no,no
41,admin.,single,secondary,no,yes
43,services,married,secondary,no,yes
28,management,single,tertiary,no,no
31,admin.,single,secondary,no,no
78,housemaid,married,secondary,no,no
45,blue-collar,divorced,secondary,no,no
48,technician,married,tertiary,,no
32,blue-collar,single,secondary,no,yes
42,technician,married,secondary,no,no
37,management,single,tertiary,no,no
40,admin.,single,secondary,no,yes
32,admin.,married,secondary,no,no
42,management,married,tertiary,no,no
43,admin.,married,secondary,no,yes
44,admin.,married,secondary,no,yes
37,admin.,married,secondary,no,no
37,unknown,married,unknown,no,no
37,admin.,married,tertiary,no,no
28,technician,single,tertiary,no,yes
32,services,single,secondary,no,yes
34,admin.,single,secondary,no,no
40,admin.,divorced,secondary,no,no
34,services,married,secondary,no,no
34,self-employed,married,tertiary,no,no
34,admin.,married,tertiary,no,no
37,services,single,secondary,no,no
36,technician,married,secondary,no,no
56,retired,married,secondary,no,no
49,blue-collar,married,primary,no,yes
33,self-employed,married,secondary,no,no
30,management,single,tertiary,no,no
36,services,married,secondary,no,no
23,student,single,secondary,no,no
57,retired,divorced,secondary,no,no
27,blue-collar,single,secondary,no,no
38,services,married,secondary,no,yes
42,technician,married,tertiary,no,no
75,retired,married,secondary,no,no
34,technician,single,tertiary,no,no
48,technician,married,secondary,no,no
35,technician,single,tertiary,no,no
39,management,divorced,tertiary,no,no
29,blue-collar,single,tertiary,no,no
45,technician,single,tertiary,no,no
42,technician,married,secondary,no,yes
29,technician,married,secondary,no,no
38,services,single,secondary,no,no
56,retired,married,secondary,no,no
36,technician,single,secondary,no,no
25,blue-collar,single,secondary,no,no
38,technician,married,tertiary,no,no
57,self-employed,married,secondary,no,no
31,management,married,tertiary,yes,no
42,management,married,tertiary,no,no
45,technician,married,secondary,no,no
30,blue-collar,married,secondary,no,no
49,blue-collar,married,primary,no,yes
49,services,married,secondary,no,no
53,retired,married,tertiary,no,no
37,technician,married,secondary,no,no
49,blue-collar,married,primary,no,no
41,self-employed,married,primary,no,no
54,management,married,primary,no,no
32,services,single,secondary,no,no
33,technician,married,secondary,no,no
33,technician,married,secondary,no,no
36,blue-collar,married,primary,no,no
35,technician,married,tertiary,no,yes
52,unknown,married,secondary,no,no
40,entrepreneur,married,tertiary,no,no
44,technician,single,secondary,no,no
45,blue-collar,single,secondary,no,no
30,student,single,secondary,no,no
48,technician,divorced,secondary,yes,no
33,blue-collar,married,secondary,no,no
57,technician,married,unknown,no,no
57,housemaid,married,primary,no,no
51,unemployed,married,tertiary,no,no
34,admin.,single,secondary,no,no
50,self-employed,married,tertiary,no,no
44,management,married,tertiary,no,no
27,admin.,married,secondary,no,yes
50,blue-collar,married,secondary,no,no
36,management,married,tertiary,no,no
42,management,married,secondary,no,no
32,unemployed,single,secondary,no,no
42,management,married,tertiary,no,no
43,technician,married,secondary,no,yes
31,management,married,tertiary,no,no
32,management,married,tertiary,no,no
55,blue-collar,divorced,primary,no,yes
58,retired,married,primary,no,no
46,blue-collar,married,primary,no,no
55,blue-collar,married,secondary,no,yes
34,management,married,tertiary,no,yes
28,unemployed,single,secondary,no,no
42,technician,divorced,tertiary,no,no
29,blue-collar,single,secondary,no,yes
54,housemaid,married,secondary,no,yes
32,technician,single,secondary,no,no
39,technician,single,tertiary,no,no
53,entrepreneur,married,tertiary,no,yes
58,technician,married,tertiary,no,no
40,self-employed,married,secondary,no,yes
29,student,single,secondary,no,no
33,technician,married,tertiary,no,yes
38,admin.,single,secondary,no,no
56,services,divorced,secondary,no,no
40,services,married,secondary,no,no
24,blue-collar,single,secondary,no,yes
46,management,married,secondary,no,no
35,self-employed,married,secondary,no,no
35,blue-collar,single,tertiary,no,no
34,technician,married,secondary,no,no
35,housemaid,married,tertiary,no,no
38,technician,single,tertiary,no,no
50,blue-collar,married,primary,no,no
51,blue-collar,divorced,primary,no,no
59,self-employed,married,tertiary,no,no
32,blue-collar,married,secondary,no,no
37,blue-collar,single,secondary,no,no
42,admin.,divorced,secondary,no,no
40,student,married,secondary,no,no
28,technician,single,tertiary,no,no
47,admin.,married,secondary,no,no
27,self-employed,married,secondary,no,no
41,management,married,tertiary,no,no
34,admin.,married,tertiary,no,yes
50,blue-collar,married,primary,no,no
47,blue-collar,married,secondary,no,no
53,services,married,secondary,no,no
53,technician,divorced,secondary,no,yes
47,management,married,tertiary,no,no
49,entrepreneur,divorced,unknown,yes,no
29,management,married,tertiary,no,no
45,blue-collar,divorced,primary,no,no
38,entrepreneur,married,secondary,no,yes
32,blue-collar,married,secondary,no,no
70,retired,divorced,primary,no,no
65,retired,divorced,primary,no,no
56,blue-collar,married,secondary,no,no
35,blue-collar,married,secondary,no,no
56,management,married,unknown,no,yes
56,technician,married,secondary,no,yes
49,entrepreneur,married,secondary,no,no
38,unemployed,married,primary,no,yes
35,management,married,tertiary,no,no
38,admin.,married,tertiary,no,no
49,blue-collar,married,secondary,no,yes
55,management,married,unknown,no,no
43,blue-collar,single,primary,no,no
43,management,married,tertiary,no,yes
25,admin.,single,tertiary,no,no
30,blue-collar,married,primary,no,no
46,blue-collar,married,secondary,no,no
50,admin.,married,primary,no,yes
35,entrepreneur,married,secondary,no,no
26,unemployed,single,secondary,no,no
45,admin.,married,unknown,no,no
37,blue-collar,married,secondary,no,no
60,self-employed,single,tertiary,no,yes
38,management,married,tertiary,no,no
47,blue-collar,married,primary,no,yes
33,technician,married,secondary,no,no
51,unemployed,married,secondary,no,yes
35,entrepreneur,single,tertiary,no,no
35,unemployed,married,secondary,no,no
48,admin.,single,secondary,no,no
37,admin.,married,secondary,no,no
29,technician,single,tertiary,no,no
34,admin.,married,secondary,no,no
32,services,married,primary,no,no
30,management,single,tertiary,no,no
47,management,divorced,tertiary,no,yes
33,blue-collar,married,primary,no,no
33,management,single,tertiary,no,no
63,retired,married,primary,no,no
51,self-employed,divorced,primary,no,no
41,management,married,tertiary,no,yes
56,retired,married,tertiary,no,no
60,management,single,tertiary,no,yes
41,self-employed,single,tertiary,no,no
37,management,single,unknown,no,no
36,blue-collar,single,secondary,no,yes
57,management,married,tertiary,no,no
55,management,married,primary,no,no
44,admin.,married,secondary,no,yes
47,self-employed,married,tertiary,no,no
31,blue-collar,married,secondary,no,no
35,management,married,tertiary,yes,no
39,management,married,tertiary,no,yes
50,management,married,tertiary,no,no
29,management,married,tertiary,no,no
30,services,single,secondary,no,no
46,services,married,secondary,no,no
27,management,single,unknown,no,no
48,admin.,divorced,secondary,no,no
26,student,single,secondary,no,no
36,management,single,tertiary,no,no
42,blue-collar,married,primary,no,yes
50,housemaid,married,primary,no,no
49,blue-collar,married,secondary,no,no
45,management,married,tertiary,no,no
23,student,single,secondary,no,no
38,technician,single,secondary,no,no
32,management,single,tertiary,no,no
60,technician,single,primary,no,no
30,entrepreneur,married,secondary,no,no
58,housemaid,married,tertiary,no,no
60,retired,married,primary,no,no
38,services,married,secondary,no,no
51,technician,married,secondary,no,no
42,admin.,married,secondary,no,no
30,services,single,secondary,no,no
40,management,married,primary,no,no
37,management,married,tertiary,no,no
53,technician,divorced,primary,no,no
27,services,single,secondary,no,no
39,blue-collar,married,secondary,no,no
39,blue-collar,married,primary,no,no
59,retired,married,tertiary,no,no
37,services,married,secondary,no,no
41,blue-collar,married,primary,no,no
45,blue-collar,married,primary,no,no
48,management,married,tertiary,no,no
48,technician,married,secondary,no,no
32,blue-collar,married,secondary,no,no
35,services,married,secondary,no,no
33,management,single,tertiary,no,no
28,blue-collar,single,primary,no,yes
64,retired,married,unknown,no,no
35,technician,married,secondary,no,no
33,blue-collar,married,secondary,no,no
41,technician,married,secondary,no,no
34,admin.,married,secondary,no,no
37,technician,single,tertiary,no,no
38,blue-collar,married,primary,no,yes
39,blue-collar,married,primary,no,no
35,technician,divorced,tertiary,no,no
28,blue-collar,single,secondary,no,yes
27,blue-collar,single,secondary,no,no
48,retired,married,primary,yes,yes
50,blue-collar,married,secondary,no,no
45,self-employed,married,secondary,no,no
41,technician,married,tertiary,no,no
39,technician,married,secondary,no,no
44,management,married,secondary,no,no
54,admin.,married,secondary,no,no
49,management,married,tertiary,no,no
34,blue-collar,single,secondary,no,no
75,retired,divorced,tertiary,no,no
42,management,married,tertiary,no,no
53,blue-collar,married,secondary,no,no
49,management,divorced,tertiary,no,no
31,services,single,secondary,no,no
45,blue-collar,single,primary,no,no
39,self-employed,married,secondary,no,yes
46,technician,married,secondary,no,yes
42,admin.,divorced,secondary,no,no
37,management,married,tertiary,no,no
26,technician,single,tertiary,no,no
37,management,single,tertiary,no,no
36,services,single,secondary,no,no
29,blue-collar,single,primary,no,no
36,blue-collar,married,primary,no,yes
26,technician,married,tertiary,no,no
32,blue-collar,married,secondary,no,no
40,management,married,tertiary,no,no
53,management,married,primary,no,no
29,management,married,tertiary,no,no
34,technician,single,tertiary,no,no
43,blue-collar,married,secondary,no,no
56,management,married,tertiary,no,yes
55,entrepreneur,divorced,tertiary,no,no
31,self-employed,married,tertiary,no,no
27,admin.,single,secondary,no,no
36,management,married,secondary,no,no
44,management,married,tertiary,no,no
37,admin.,divorced,tertiary,no,no
30,admin.,single,secondary,no,no
42,technician,single,secondary,no,no
30,management,married,tertiary,no,no
62,retired,married,secondary,no,no
24,blue-collar,married,secondary,no,no
31,technician,married,secondary,no,no
66,retired,married,tertiary,no,no
47,admin.,married,secondary,no,no
39,entrepreneur,married,tertiary,no,no
35,technician,married,secondary,no,no
35,admin.,divorced,secondary,no,no
27,technician,married,secondary,no,yes
32,blue-collar,married,secondary,no,no
44,management,married,tertiary,no,no
42,blue-collar,married,secondary,no,no
34,self-employed,single,tertiary,no,no
25,services,single,secondary,no,yes
40,technician,single,secondary,no,no
43,management,divorced,tertiary,no,no
55,unemployed,married,tertiary,no,no
50,blue-collar,married,secondary,no,no
45,management,divorced,tertiary,no,no
35,blue-collar,divorced,secondary,no,no
32,blue-collar,married,secondary,no,no
59,housemaid,married,secondary,no,no
34,self-employed,married,secondary,no,no
39,management,married,tertiary,no,no
40,management,single,secondary,no,no
36,blue-collar,single,primary,no,no
40,management,married,tertiary,no,no
55,self-employed,married,secondary,no,no
38,entrepreneur,married,secondary,yes,no
61,admin.,married,secondary,no,no
41,management,married,tertiary,no,no
57,blue-collar,married,primary,no,no
48,blue-collar,married,secondary,no,no
77,retired,married,tertiary,no,no
35,services,married,secondary,no,no
54,blue-collar,married,secondary,no,no
37,management,single,unknown,no,no
56,management,single,secondary,no,no
40,technician,married,secondary,no,no
40,management,married,tertiary,no,no
54,management,married,tertiary,no,no
55,housemaid,married,primary,no,no
55,services,divorced,secondary,yes,no
52,blue-collar,married,primary,no,no
55,blue-collar,single,primary,no,no
33,management,married,tertiary,no,no
52,blue-collar,married,unknown,no,no
33,services,divorced,secondary,no,no
53,admin.,married,secondary,no,no
46,admin.,married,secondary,no,no
44,technician,single,secondary,no,no
48,management,divorced,tertiary,no,no
50,housemaid,married,secondary,no,no
34,technician,single,secondary,no,yes
38,technician,single,secondary,no,yes
42,management,single,tertiary,no,no
32,management,single,tertiary,no,no
58,admin.,married,secondary,no,yes
31,management,married,tertiary,no,no
19,student,single,primary,no,no
41,management,married,tertiary,no,no
31,unemployed,married,secondary,no,no
52,self-employed,single,primary,no,yes
42,self-employed,divorced,tertiary,no,no
41,blue-collar,single,secondary,no,no
30,blue-collar,single,secondary,no,no
