age,job,marital status ,education,credit default?,Credit Card
38,blue-collar,married,secondary,no,yes
32,management,married,tertiary,no,no
52,technician,married,secondary,no,no
48,management,divorced,tertiary,no,no
36,management,married,tertiary,no,no
45,unemployed,divorced,primary,no,no
34,technician,married,tertiary,no,yes
36,blue-collar,married,primary,no,no
34,management,married,tertiary,no,no
61,retired,married,secondary,no,no
54,services,married,secondary,no,no
50,entrepreneur,married,secondary,no,no
43,admin.,divorced,secondary,no,no
47,blue-collar,married,primary,no,no
45,services,married,secondary,no,no
57,retired,married,primary,no,no
27,admin.,married,secondary,no,no
49,unemployed,divorced,secondary,no,no
43,services,married,primary,no,no
40,management,married,tertiary,no,no
32,services,single,secondary,no,no
58,management,married,primary,no,no
34,admin.,single,secondary,no,no
46,technician,divorced,secondary,no,no
29,blue-collar,married,secondary,no,no
52,blue-collar,married,primary,no,no
45,management,married,tertiary,no,no
26,management,single,secondary,no,no
40,technician,married,tertiary,no,no
41,admin.,married,secondary,no,yes
47,admin.,single,secondary,no,no
27,technician,single,unknown,no,no
27,services,married,secondary,no,no
48,blue-collar,married,secondary,no,no
49,admin.,married,secondary,no,no
35,blue-collar,married,primary,no,no
47,self-employed,married,secondary,yes,no
54,management,married,tertiary,no,no
39,management,single,tertiary,no,no
28,student,single,secondary,no,no
54,blue-collar,married,primary,no,no
34,technician,married,secondary,no,no
63,retired,married,secondary,no,no
42,self-employed,married,tertiary,no,no
43,technician,single,secondary,no,no
37,admin.,married,secondary,no,no
55,blue-collar,married,primary,no,no
43,management,single,tertiary,no,no
41,blue-collar,married,secondary,yes,yes
47,technician,divorced,secondary,no,no
34,technician,married,secondary,no,no
28,student,single,secondary,no,no
42,admin.,single,secondary,no,no
55,admin.,married,primary,no,no
52,management,married,tertiary,no,no
26,blue-collar,single,secondary,no,yes
52,technician,married,secondary,no,no
26,management,single,tertiary,no,no
33,unemployed,married,secondary,no,no
24,blue-collar,single,primary,no,yes
37,management,divorced,tertiary,no,no
28,technician,single,secondary,no,no
30,technician,single,secondary,no,no
33,blue-collar,married,primary,no,no
55,unknown,married,primary,no,no
33,blue-collar,married,secondary,no,no
42,blue-collar,married,secondary,no,no
37,management,married,tertiary,no,no
59,blue-collar,married,primary,no,no
27,blue-collar,single,secondary,no,no
23,student,married,tertiary,yes,no
51,management,divorced,tertiary,no,no
50,blue-collar,married,primary,no,no
43,technician,married,secondary,no,no
37,blue-collar,divorced,primary,no,no
34,management,single,tertiary,no,no
41,management,married,tertiary,no,no
26,student,single,secondary,no,no
49,management,divorced,tertiary,no,no
29,blue-collar,single,secondary,no,no
30,management,single,tertiary,no,no
38,services,divorced,secondary,no,no
58,management,married,secondary,no,no
34,student,single,unknown,no,no
53,services,divorced,unknown,no,no
50,management,married,tertiary,no,no
30,blue-collar,single,secondary,no,no
40,management,married,secondary,no,no
57,housemaid,single,secondary,no,no
39,management,single,secondary,no,no
58,retired,married,primary,no,no
41,technician,divorced,secondary,no,no
48,technician,married,secondary,no,no
58,management,married,tertiary,no,no
40,self-employed,married,primary,no,no
48,management,married,tertiary,no,yes
52,blue-collar,divorced,primary,no,no
50,self-employed,married,secondary,no,yes
25,technician,single,secondary,no,no
54,retired,married,primary,no,no
34,services,married,secondary,no,no
48,management,married,tertiary,yes,no
37,admin.,married,tertiary,no,no
66,retired,married,tertiary,no,no
32,management,single,tertiary,no,no
45,blue-collar,married,secondary,no,yes
43,blue-collar,single,secondary,no,no
41,management,married,tertiary,no,no
40,technician,divorced,tertiary,no,no
44,services,single,secondary,no,no
43,blue-collar,married,primary,no,no
30,unknown,single,tertiary,no,no
32,services,married,secondary,no,no
57,admin.,married,secondary,no,no
31,blue-collar,single,tertiary,no,yes
49,unknown,married,secondary,no,no
31,admin.,single,secondary,no,no
41,admin.,married,tertiary,no,no
44,management,married,tertiary,no,no
54,entrepreneur,married,unknown,no,no
37,blue-collar,divorced,secondary,no,no
34,management,married,secondary,no,no
43,technician,married,secondary,no,no
44,management,married,tertiary,no,no
44,services,married,secondary,no,no
53,admin.,divorced,secondary,no,no
36,technician,married,secondary,no,no
58,technician,divorced,secondary,no,no
26,student,single,secondary,no,no
34,technician,single,secondary,no,no
55,blue-collar,married,primary,no,no
55,blue-collar,married,secondary,no,no
34,entrepreneur,married,tertiary,no,no
41,entrepreneur,divorced,secondary,no,yes
38,housemaid,divorced,secondary,no,no
28,blue-collar,single,secondary,no,no
41,technician,married,secondary,no,no
30,admin.,married,tertiary,no,no
39,technician,married,unknown,no,no
41,admin.,married,secondary,no,no
36,technician,married,secondary,no,no
37,management,married,tertiary,no,yes
59,self-employed,married,tertiary,no,yes
26,technician,single,secondary,no,no
43,technician,married,secondary,no,yes
42,management,married,secondary,yes,no
46,blue-collar,married,unknown,no,no
31,admin.,married,secondary,no,yes
43,unemployed,married,secondary,no,no
48,blue-collar,single,tertiary,no,no
41,blue-collar,married,secondary,no,no
32,self-employed,married,tertiary,no,no
45,technician,married,tertiary,no,no
52,admin.,single,unknown,no,no
37,self-employed,married,secondary,no,yes
38,blue-collar,divorced,secondary,no,no
36,services,single,secondary,no,no
58,retired,married,secondary,no,no
37,management,married,tertiary,no,no
30,technician,single,secondary,no,no
47,technician,married,secondary,no,no
40,technician,married,secondary,no,no
42,management,divorced,tertiary,no,no
71,unknown,married,tertiary,no,no
54,blue-collar,married,secondary,no,yes
53,entrepreneur,married,primary,no,no
33,blue-collar,divorced,secondary,no,no
30,technician,single,tertiary,no,no
39,services,divorced,secondary,no,no
32,blue-collar,married,secondary,no,no
34,technician,single,secondary,no,no
39,self-employed,single,tertiary,no,no
75,retired,married,secondary,no,no
33,admin.,divorced,secondary,no,yes
40,services,married,secondary,no,no
37,technician,married,unknown,no,no
69,retired,married,primary,no,no
52,unemployed,married,primary,no,no
31,admin.,divorced,secondary,no,no
28,technician,single,secondary,no,no
29,management,single,tertiary,no,no
46,services,married,secondary,no,no
28,blue-collar,married,secondary,no,yes
41,admin.,married,secondary,no,no
42,technician,divorced,secondary,no,yes
34,admin.,single,secondary,no,no
28,blue-collar,married,secondary,no,no
43,management,single,secondary,no,no
32,technician,married,secondary,no,no
33,technician,single,tertiary,no,no
70,retired,married,secondary,no,no
36,services,married,secondary,no,no
53,technician,married,secondary,no,no
30,blue-collar,single,secondary,no,no
45,services,divorced,secondary,no,no
31,services,single,secondary,no,no
28,admin.,married,secondary,no,no
45,blue-collar,married,primary,no,no
51,management,married,tertiary,no,yes
53,management,married,primary,no,no
40,technician,married,secondary,no,no
53,blue-collar,married,primary,no,no
31,blue-collar,divorced,secondary,no,no
30,management,married,tertiary,no,no
53,entrepreneur,married,secondary,no,no
40,blue-collar,married,primary,no,no
26,management,single,secondary,no,no
47,blue-collar,married,secondary,no,no
51,management,married,tertiary,no,no
45,unemployed,married,primary,no,yes
35,management,married,tertiary,no,no
36,management,single,tertiary,no,no
57,admin.,married,secondary,no,no
42,blue-collar,married,primary,no,no
32,blue-collar,married,secondary,yes,no
30,management,married,tertiary,no,no
36,technician,married,secondary,no,no
43,technician,married,secondary,no,no
69,retired,single,tertiary,no,no
31,technician,single,tertiary,no,no
35,technician,married,secondary,no,no
26,entrepreneur,married,tertiary,no,yes
46,technician,married,secondary,no,yes
30,technician,married,secondary,no,no
33,management,single,tertiary,no,no
34,management,married,tertiary,no,no
48,blue-collar,married,primary,no,no
31,management,married,tertiary,no,no
46,management,divorced,tertiary,no,no
40,services,married,secondary,no,no
39,entrepreneur,married,secondary,no,no
33,technician,single,secondary,no,yes
50,blue-collar,married,primary,no,no
84,retired,divorced,primary,no,no
40,blue-collar,married,primary,no,yes
55,management,married,tertiary,no,no
40,services,divorced,secondary,no,no
46,admin.,married,primary,no,no
43,self-employed,single,tertiary,no,no
34,blue-collar,married,secondary,no,no
35,technician,single,secondary,no,no
57,retired,married,unknown,no,no
25,student,single,secondary,no,no
32,self-employed,married,tertiary,no,no
52,retired,single,secondary,no,no
31,self-employed,single,tertiary,yes,no
34,management,married,tertiary,no,no
42,technician,divorced,secondary,no,no
47,blue-collar,divorced,primary,no,no
50,self-employed,divorced,tertiary,no,no
30,technician,married,secondary,no,yes
33,services,single,secondary,no,no
56,technician,single,tertiary,no,no
34,admin.,divorced,secondary,no,no
33,technician,married,secondary,no,yes
32,management,single,tertiary,no,no
34,management,married,tertiary,no,no
37,technician,married,secondary,no,no
30,management,married,secondary,no,no
29,blue-collar,married,secondary,no,yes
56,unemployed,divorced,primary,no,no
31,management,married,tertiary,no,no
59,unknown,married,unknown,no,no
36,housemaid,married,secondary,no,no
51,blue-collar,divorced,secondary,no,no
54,self-employed,divorced,primary,no,no
37,management,married,tertiary,no,no
32,technician,married,tertiary,no,no
42,self-employed,married,tertiary,no,no
29,blue-collar,married,secondary,no,no
52,blue-collar,married,primary,no,no
40,technician,married,secondary,no,no
30,services,married,secondary,no,yes
55,entrepreneur,divorced,secondary,no,no
49,management,married,tertiary,no,no
33,technician,married,tertiary,no,no
32,services,single,secondary,no,yes
21,student,single,secondary,no,no
42,technician,married,secondary,no,no
56,self-employed,married,secondary,no,yes
39,unknown,single,secondary,no,no
30,entrepreneur,single,secondary,no,no
55,retired,married,secondary,no,no
43,blue-collar,married,primary,no,no
53,unemployed,married,secondary,no,no
57,retired,married,secondary,no,no
39,self-employed,single,unknown,no,no
56,technician,divorced,tertiary,no,no
29,services,single,unknown,no,no
38,blue-collar,married,primary,no,yes
59,management,married,tertiary,no,no
42,technician,single,unknown,no,no
46,blue-collar,married,primary,no,no
31,admin.,married,secondary,no,no
35,services,divorced,secondary,no,no
50,self-employed,married,secondary,no,no
42,blue-collar,married,primary,no,no
36,services,single,secondary,no,no
25,admin.,single,tertiary,no,no
42,management,single,tertiary,no,no
27,student,single,tertiary,no,no
32,blue-collar,married,primary,no,no
57,management,married,tertiary,no,no
48,blue-collar,married,secondary,no,no
34,blue-collar,divorced,secondary,no,no
33,services,married,secondary,no,yes
26,technician,single,secondary,no,no
50,blue-collar,married,secondary,no,no
60,technician,single,tertiary,no,no
47,management,married,tertiary,no,no
31,management,married,tertiary,no,no
52,technician,married,tertiary,no,no
36,services,married,secondary,no,no
43,blue-collar,married,primary,no,no
30,technician,single,tertiary,no,no
32,blue-collar,married,secondary,no,no
31,management,single,tertiary,no,no
29,management,single,secondary,no,no
48,services,divorced,secondary,no,yes
32,services,single,secondary,no,no
30,housemaid,single,tertiary,no,no
48,blue-collar,married,secondary,no,no
51,blue-collar,married,unknown,no,no
34,management,married,tertiary,no,no
35,blue-collar,married,secondary,no,no
49,management,single,primary,no,no
36,unemployed,married,secondary,no,yes
37,blue-collar,divorced,secondary,no,no
37,management,married,tertiary,no,no
49,blue-collar,married,primary,no,no
44,services,divorced,secondary,no,yes
40,student,married,secondary,no,no
57,technician,married,secondary,no,no
39,technician,married,secondary,no,no
38,services,married,secondary,no,yes
51,blue-collar,divorced,secondary,no,no
27,blue-collar,single,secondary,no,no
38,blue-collar,single,tertiary,no,no
30,technician,single,secondary,no,yes
36,student,single,unknown,no,no
37,unemployed,married,secondary,no,no
53,admin.,married,secondary,no,no
38,unemployed,married,tertiary,no,no
48,management,married,tertiary,no,yes
26,housemaid,married,secondary,no,no
33,blue-collar,single,secondary,no,no
47,technician,married,unknown,no,no
45,management,divorced,tertiary,no,no
32,blue-collar,divorced,secondary,no,no
69,retired,married,unknown,no,no
65,unknown,married,unknown,no,no
37,blue-collar,married,secondary,no,no
45,blue-collar,divorced,primary,no,no
36,blue-collar,married,secondary,no,no
62,self-employed,divorced,tertiary,no,no
37,management,married,tertiary,no,yes
39,services,divorced,secondary,no,no
38,technician,single,secondary,no,no
31,management,married,tertiary,no,no
58,blue-collar,divorced,primary,no,no
44,management,single,tertiary,no,no
31,blue-collar,married,secondary,no,no
33,technician,single,secondary,no,no
36,technician,single,tertiary,no,no
31,technician,single,secondary,no,no
45,admin.,married,secondary,no,no
30,technician,single,tertiary,no,no
34,blue-collar,married,secondary,no,no
34,management,married,tertiary,no,yes
39,admin.,divorced,secondary,no,no
41,management,married,tertiary,no,no
32,services,single,secondary,no,no
32,management,single,tertiary,no,no
36,blue-collar,married,primary,no,no
35,admin.,married,tertiary,no,no
32,management,single,tertiary,no,no
33,management,single,tertiary,no,no
49,entrepreneur,married,primary,no,no
35,management,married,tertiary,no,no
31,technician,married,secondary,no,yes
42,management,married,secondary,no,no
34,housemaid,married,primary,no,no
32,services,married,secondary,yes,yes
29,management,single,tertiary,no,no
32,services,single,secondary,no,no
50,housemaid,single,unknown,no,no
58,retired,married,secondary,no,yes
59,technician,married,secondary,no,no
25,student,married,tertiary,no,no
57,services,married,secondary,no,no
30,blue-collar,single,secondary,no,no
26,services,single,secondary,no,no
50,services,single,primary,no,no
39,services,married,secondary,no,no
45,blue-collar,married,primary,no,no
37,management,divorced,tertiary,no,yes
47,blue-collar,divorced,primary,no,no
50,technician,married,tertiary,no,yes
40,management,married,secondary,no,no
35,blue-collar,married,primary,no,no
53,management,married,tertiary,no,no
35,admin.,married,secondary,no,yes
54,technician,married,secondary,no,yes
35,admin.,single,secondary,no,no
31,housemaid,married,unknown,yes,yes
46,technician,divorced,secondary,no,no
52,management,married,secondary,no,no
34,admin.,divorced,secondary,no,no
46,services,divorced,secondary,no,yes
54,self-employed,married,secondary,no,no
37,admin.,married,tertiary,no,no
39,admin.,married,tertiary,no,no
50,technician,married,tertiary,no,yes
44,technician,divorced,secondary,no,no
56,admin.,married,secondary,no,no
40,services,married,tertiary,no,no
36,services,married,secondary,no,yes
33,management,married,tertiary,no,no
33,blue-collar,single,secondary,no,no
42,services,married,secondary,no,no
30,self-employed,single,tertiary,no,yes
33,admin.,single,secondary,no,no
26,blue-collar,single,secondary,no,yes
26,admin.,single,secondary,no,yes
37,services,married,secondary,no,yes
59,retired,married,primary,no,no
49,blue-collar,married,primary,no,no
33,blue-collar,single,primary,no,no
46,technician,single,secondary,no,no
55,entrepreneur,married,primary,no,no
49,services,married,tertiary,no,no
51,technician,married,secondary,no,no
27,admin.,married,secondary,no,no
44,technician,married,secondary,no,no
31,technician,single,secondary,no,no
46,blue-collar,married,primary,no,no
22,student,single,secondary,no,no
49,blue-collar,single,primary,no,no
44,unemployed,married,secondary,no,no
31,self-employed,single,secondary,no,no
53,blue-collar,married,primary,no,no
55,management,married,tertiary,no,no
35,technician,married,secondary,no,no
35,blue-collar,married,secondary,no,no
37,management,single,tertiary,no,no
50,blue-collar,married,secondary,no,no
37,management,married,primary,no,no
37,blue-collar,single,primary,no,no
29,management,single,tertiary,no,no
31,admin.,single,secondary,no,no
40,technician,married,secondary,no,no
47,services,divorced,secondary,no,no
55,self-employed,married,secondary,no,yes
33,technician,single,secondary,no,no
53,services,divorced,secondary,no,no
38,management,single,tertiary,no,no
61,management,married,secondary,no,no
43,unemployed,divorced,secondary,no,no
42,housemaid,married,primary,no,no
36,management,divorced,tertiary,no,no
31,technician,single,tertiary,no,no
59,management,married,unknown,no,no
29,blue-collar,married,primary,no,no
33,technician,married,secondary,no,no
44,blue-collar,married,primary,no,no
43,blue-collar,married,secondary,no,no
42,management,married,tertiary,no,no
32,management,single,tertiary,no,no
43,management,married,tertiary,no,no
39,admin.,single,secondary,no,no
23,blue-collar,married,primary,no,no
43,services,married,secondary,no,no
46,admin.,married,secondary,no,no
31,technician,married,secondary,no,no
38,management,married,tertiary,no,no
53,blue-collar,married,primary,no,no
37,blue-collar,married,primary,no,no
49,entrepreneur,divorced,secondary,no,no
31,unemployed,single,secondary,no,no
45,management,married,tertiary,no,no
58,admin.,married,secondary,no,no
35,blue-collar,single,secondary,no,no
32,technician,single,secondary,no,yes
28,technician,single,tertiary,no,no
26,technician,single,secondary,no,no
48,management,married,tertiary,no,no
30,blue-collar,single,secondary,no,no
31,entrepreneur,single,tertiary,no,no
31,management,married,tertiary,no,no
45,blue-collar,divorced,primary,no,no
38,admin.,married,secondary,no,
34,management,married,tertiary,no,no
42,services,married,secondary,no,yes
60,self-employed,married,primary,no,yes
42,,single,secondary,no,yes
32,admin.,single,secondary,no,no
42,unemployed,divorced,tertiary,no,no
33,services,married,secondary,no,no
42,admin.,married,unknown,no,yes
51,technician,married,tertiary,no,no
36,technician,divorced,secondary,no,no
46,blue-collar,married,secondary,no,no
40,blue-collar,married,secondary,no,no
49,blue-collar,married,secondary,no,no
38,blue-collar,married,secondary,no,no
32,services,single,secondary,no,no
33,services,married,secondary,no,no
57,self-employed,married,tertiary,yes,yes
57,technician,married,secondary,no,no
28,blue-collar,married,secondary,no,no
44,entrepreneur,single,tertiary,no,yes
